SiteId,WsWaIdx,DateHrGmt,DateHrLwt,Tsfc_F,Tdew_F,Twet_F,Rh_PCT,Psfc_MB,CldCov_PCT,Twc_F,Tapp_F,Spd_KTS,Dir_DEG,PcpPrevHr_IN,DnSol_WsqM,DiffHorz_WsqM,DirNormIr_WsqM,Spd_MPH
Madrid History 2012,581525,2012-06-04-18,2012-06-04-19,71.2,49.5,57.1,46,933.3,0,71.2,75.7,3,210,0.00,358,97,685,3
Madrid History 2012,581525,2012-06-04-19,2012-06-04-20,63.7,42.6,51.4,46,933.0,0,63.7,63.7,2,280,0.00,165,69,484,2
Madrid History 2012,581525,2012-06-04-20,2012-06-04-21,64.3,40.6,50.4,42,931.7,0,64.3,64.3,3,320,0.00,21,20,39,3
Madrid History 2012,581525,2012-06-04-21,2012-06-04-22,65.4,40.4,51.3,40,932.3,0,65.4,65.4,5,340,0.00,0,0,0,6
Madrid History 2012,581525,2012-06-04-22,2012-06-04-23,64.7,40.5,51.6,41,932.7,0,64.7,64.7,5,350,0.00,0,0,0,6
Madrid History 2012,581525,2012-06-04-23,2012-06-05-00,63.6,40.7,50.7,43,933.0,0,63.6,63.6,6,0,0.00,0,0,0,7
Madrid History 2012,581525,2012-06-05-00,2012-06-05-01,62.5,40.9,49.7,45,933.2,0,62.4,62.4,6,10,0.00,0,0,0,7
Madrid History 2012,581525,2012-06-05-01,2012-06-05-02,62.3,42.5,50.4,48,932.9,0,62.0,62.0,6,30,0.00,0,0,0,7
Madrid History 2012,581525,2012-06-05-02,2012-06-05-03,61.1,43.0,51.0,51,932.9,0,60.6,60.6,6,20,0.00,0,0,0,7
Madrid History 2012,581525,2012-06-05-03,2012-06-05-04,60.0,43.4,50.2,54,932.8,0,59.3,59.3,6,10,0.00,0,0,0,7
Madrid History 2012,581525,2012-06-05-04,2012-06-05-05,58.8,43.7,49.3,57,932.8,0,58.1,58.1,5,0,0.00,0,0,0,6
Madrid History 2012,581525,2012-06-05-05,2012-06-05-06,58.0,44.0,49.9,60,932.9,0,57.3,57.3,5,0,0.00,0,0,0,6
Madrid History 2012,581525,2012-06-05-06,2012-06-05-07,61.3,45.0,51.9,55,933.1,1,61.3,61.3,4,10,0.00,60,41,159,5
Madrid History 2012,581525,2012-06-05-07,2012-06-05-08,66.5,48.1,55.7,52,936.3,0,66.5,66.5,2,0,0.00,236,73,542,2
Madrid History 2012,581525,2012-06-05-08,2012-06-05-09,70.2,49.9,57.6,48,937.2,0,70.2,75.7,5,0,0.00,433,90,714,6
Madrid History 2012,581525,2012-06-05-09,2012-06-05-10,75.4,49.2,59.6,40,936.2,0,75.4,76.7,3,330,0.00,622,118,783,3
Madrid History 2012,581525,2012-06-05-10,2012-06-05-11,75.6,51.5,60.5,43,937.2,0,75.6,77.1,2,360,0.00,785,161,799,2
Madrid History 2012,581525,2012-06-05-11,2012-06-05-12,77.4,48.1,59.4,35,937.1,0,77.4,77.4,2,350,0.00,908,183,822,2
Madrid History 2012,581525,2012-06-05-12,2012-06-05-13,80.9,49.8,61.7,34,937.1,0,80.9,80.9,4,200,0.00,981,190,843,5
Madrid History 2012,581525,2012-06-05-13,2012-06-05-14,82.6,49.8,62.3,32,936.2,0,82.6,82.6,6,180,0.00,998,192,848,7
Madrid History 2012,581525,2012-06-05-14,2012-06-05-15,83.7,48.7,61.5,30,934.8,1,83.7,83.7,6,190,0.00,959,192,840,7
Madrid History 2012,581525,2012-06-05-15,2012-06-05-16,83.9,47.4,60.8,28,933.7,28,83.9,83.9,6,210,0.00,866,182,823,7
Madrid History 2012,581525,2012-06-05-16,2012-06-05-17,87.7,49.7,62.9,27,934.4,58,87.7,87.7,6,280,0.00,720,148,806,7
Madrid History 2012,581525,2012-06-05-17,2012-06-05-18,85.1,41.4,59.2,21,930.1,87,85.1,85.1,8,240,0.00,531,97,778,9
Madrid History 2012,581525,2012-06-05-18,2012-06-05-19,83.9,51.4,62.3,32,933.5,85,83.9,83.9,2,350,0.00,301,117,482,2
Madrid History 2012,581525,2012-06-05-19,2012-06-05-20,78.3,42.7,57.1,28,929.8,59,78.3,78.3,7,260,0.00,132,60,355,8
Madrid History 2012,581525,2012-06-05-20,2012-06-05-21,72.9,43.7,55.4,35,930.2,36,72.9,75.1,7,280,0.00,20,19,20,8
Madrid History 2012,581525,2012-06-05-21,2012-06-05-22,69.6,45.9,54.6,42,930.8,29,69.6,69.6,6,300,0.00,0,0,0,7
Madrid History 2012,581525,2012-06-05-22,2012-06-05-23,67.1,47.7,55.2,50,931.0,32,67.1,67.1,5,310,0.00,0,0,0,6
Madrid History 2012,581525,2012-06-05-23,2012-06-06-00,65.2,49.3,55.1,56,931.1,25,65.2,65.2,4,320,0.00,0,0,0,5
Madrid History 2012,581525,2012-06-06-00,2012-06-06-01,63.6,50.5,54.9,62,931.0,13,63.6,63.6,4,320,0.00,0,0,0,5
Madrid History 2012,581525,2012-06-06-01,2012-06-06-02,62.5,52.7,55.0,70,930.7,15,62.5,62.5,3,310,0.00,0,0,0,3
Madrid History 2012,581525,2012-06-06-02,2012-06-06-03,61.4,53.0,55.8,74,930.4,15,61.4,61.4,3,310,0.00,0,0,0,3
Madrid History 2012,581525,2012-06-06-03,2012-06-06-04,60.5,53.3,54.7,77,930.3,18,60.5,60.5,3,310,0.00,0,0,0,3
Madrid History 2012,581525,2012-06-06-04,2012-06-06-05,59.2,53.4,55.7,82,930.2,21,59.2,59.2,3,310,0.00,0,0,0,3
Madrid History 2012,581525,2012-06-06-05,2012-06-06-06,58.5,53.2,54.2,83,930.1,34,58.5,58.5,3,310,0.00,0,0,0,3
Madrid History 2012,581525,2012-06-06-06,2012-06-06-07,63.5,53.4,56.6,70,930.1,51,63.5,63.5,3,290,0.00,58,41,142,3
Madrid History 2012,581525,2012-06-06-07,2012-06-06-08,76.7,65.5,67.4,68,933.5,56,76.7,79.5,1,350,0.00,228,66,536,1
Madrid History 2012,581525,2012-06-06-08,2012-06-06-09,66.7,53.5,58.3,63,933.5,56,66.7,66.7,3,160,0.00,420,103,660,3
Madrid History 2012,581525,2012-06-06-09,2012-06-06-10,72.0,53.1,59.9,51,932.6,58,72.0,76.1,4,190,0.00,607,124,749,5
Madrid History 2012,581525,2012-06-06-10,2012-06-06-11,72.1,55.2,60.9,55,933.5,57,72.1,76.3,6,200,0.00,767,155,784,7
Madrid History 2012,581525,2012-06-06-11,2012-06-06-12,75.7,53.4,61.4,46,933.4,60,75.7,77.3,3,350,0.00,888,186,795,3
